"Date","CUUR0000SAG1"
1947-01-01,25.1
1947-02-01,25.2
1947-03-01,25.3
1947-04-01,25.5
1947-05-01,25.3
1947-06-01,25.2
1947-07-01,25.1
1947-08-01,25.2
1947-09-01,25.2
1947-10-01,25.4
1947-11-01,25.6
1947-12-01,26
1948-01-01,26.1
1948-02-01,26.1
1948-03-01,26
1948-04-01,26.3
1948-05-01,26.1
1948-06-01,26
1948-07-01,26.2
1948-08-01,26.2
1948-09-01,26.5
1948-10-01,26.7
1948-11-01,26.7
1948-12-01,26.7
1949-01-01,26.6
1949-02-01,26.4
1949-03-01,26.4
1949-04-01,26.4
1949-05-01,26.3
1949-06-01,26.3
1949-07-01,26.2
1949-08-01,26.2
1949-09-01,26.2
1949-10-01,26.1
1949-11-01,26
1949-12-01,26
1950-01-01,25.8
1950-02-01,25.7
1950-03-01,25.7
1950-04-01,25.7
1950-05-01,25.7
1950-06-01,25.7
1950-07-01,25.9
1950-08-01,26.2
1950-09-01,26.3
1950-10-01,26.8
1950-11-01,27.5
1950-12-01,27.9
1951-01-01,28.5
1951-02-01,28.7
1951-03-01,28.7
1951-04-01,28.7
1951-05-01,28.8
1951-06-01,28.8
1951-07-01,28.7
1951-08-01,28.7
1951-09-01,28.6
1951-10-01,28.6
1951-11-01,28.7
1951-12-01,28.9
1952-01-01,28.9
1952-02-01,28.9
1952-03-01,28.9
1952-04-01,28.9
1952-05-01,29
1952-06-01,29
1952-07-01,29.1
1952-08-01,29.1
1952-09-01,29.1
1952-10-01,29.2
1952-11-01,29.2
1952-12-01,29.2
1953-01-01,29.2
1953-02-01,29.2
1953-03-01,29.2
1953-04-01,29.2
1953-05-01,29.3
1953-06-01,29.2
1953-07-01,29.2
1953-08-01,29.3
1953-09-01,29.3
1953-10-01,29.4
1953-11-01,29.4
1953-12-01,29.5
1954-01-01,29.5
1954-02-01,29.6
1954-03-01,29.6
1954-04-01,29.3
1954-05-01,29.4
1954-06-01,29.3
1954-07-01,29.4
1954-08-01,29.4
1954-09-01,29.5
1954-10-01,29.4
1954-11-01,29.5
1954-12-01,29.5
1955-01-01,29.5
1955-02-01,29.5
1955-03-01,29.5
1955-04-01,29.5
1955-05-01,29.6
1955-06-01,29.8
1955-07-01,30
1955-08-01,30.1
1955-09-01,30.3
1955-10-01,30.4
1955-11-01,30.5
1955-12-01,30.6
1956-01-01,30.8
1956-02-01,30.9
1956-03-01,31
1956-04-01,31
1956-05-01,31.1
1956-06-01,31.1
1956-07-01,31.2
1956-08-01,31.2
1956-09-01,31.3
1956-10-01,31.4
1956-11-01,31.5
1956-12-01,31.6
1957-01-01,31.7
1957-02-01,31.9
1957-03-01,31.9
1957-04-01,32
1957-05-01,32
1957-06-01,32.3
1957-07-01,32.4
1957-08-01,32.4
1957-09-01,32.5
1957-10-01,32.8
1957-11-01,32.9
1957-12-01,33
1958-01-01,33.2
1958-02-01,33.2
1958-03-01,33.3
1958-04-01,33.3
1958-05-01,33.3
1958-06-01,33.4
1958-07-01,33.5
1958-08-01,33.5
1958-09-01,33.4
1958-10-01,33.4
1958-11-01,33.5
1958-12-01,33.5
1959-01-01,33.6
1959-02-01,33.7
1959-03-01,33.7
1959-04-01,33.8
1959-05-01,33.9
1959-06-01,34
1959-07-01,34.1
1959-08-01,34.2
1959-09-01,34.3
1959-10-01,34.4
1959-11-01,34.5
1959-12-01,34.5
1960-01-01,34.5
1960-02-01,34.4
1960-03-01,34.5
1960-04-01,34.5
1960-05-01,34.6
1960-06-01,34.6
1960-07-01,34.6
1960-08-01,34.7
1960-09-01,34.8
1960-10-01,34.8
1960-11-01,34.8
1960-12-01,34.7
1961-01-01,34.7
1961-02-01,34.7
1961-03-01,34.7
1961-04-01,34.7
1961-05-01,34.7
1961-06-01,34.8
1961-07-01,34.8
1961-08-01,34.8
1961-09-01,34.8
1961-10-01,34.8
1961-11-01,34.8
1961-12-01,35
1962-01-01,35.1
1962-02-01,35.2
1962-03-01,35.2
1962-04-01,35.3
1962-05-01,35.4
1962-06-01,35.3
1962-07-01,35.5
1962-08-01,35.5
1962-09-01,35.5
1962-10-01,35.6
1962-11-01,35.6
1962-12-01,35.8
1963-01-01,35.7
1963-02-01,35.7
1963-03-01,35.7
1963-04-01,35.8
1963-05-01,35.8
1963-06-01,35.8
1963-07-01,35.9
1963-08-01,35.9
1963-09-01,36
1963-10-01,36.1
1963-11-01,36.1
1963-12-01,36.2
1964-01-01,36.1
1964-02-01,36.1
1964-03-01,36.2
1964-04-01,36.2
1964-05-01,36.2
1964-06-01,36.3
1964-07-01,36.3
1964-08-01,36.4
1964-09-01,36.4
1964-10-01,36.5
1964-11-01,36.5
1964-12-01,36.6
1965-01-01,36.6
1965-02-01,36.6
1965-03-01,36.7
1965-04-01,36.8
1965-05-01,36.9
1965-06-01,36.9
1965-07-01,36.2
1965-08-01,36.3
1965-09-01,36.3
1965-10-01,36.3
1965-11-01,36.5
1965-12-01,36.6
1966-01-01,36.7
1966-02-01,36.8
1966-03-01,36.9
1966-04-01,37.1
1966-05-01,37.3
1966-06-01,37.3
1966-07-01,37.4
1966-08-01,37.5
1966-09-01,37.6
1966-10-01,37.7
1966-11-01,37.7
1966-12-01,37.8
1967-01-01,37.8
1967-02-01,38
1967-03-01,38
1967-04-01,38.2
1967-05-01,38.3
1967-06-01,38.3
1967-07-01,38.4
1967-08-01,38.6
1967-09-01,38.7
1967-10-01,38.8
1967-11-01,38.9
1967-12-01,39
1968-01-01,39.1
1968-02-01,39.1
1968-03-01,39.4
1968-04-01,39.6
1968-05-01,39.8
1968-06-01,40
1968-07-01,40
1968-08-01,40.2
1968-09-01,40.4
1968-10-01,40.6
1968-11-01,40.8
1968-12-01,41
1969-01-01,41.1
1969-02-01,41.3
1969-03-01,41.5
1969-04-01,41.8
1969-05-01,41.8
1969-06-01,42
1969-07-01,42.1
1969-08-01,42.2
1969-09-01,42.3
1969-10-01,42.3
1969-11-01,42.5
1969-12-01,42.6
1970-01-01,42.8
1970-02-01,42.9
1970-03-01,43.1
1970-04-01,43.2
1970-05-01,43.3
1970-06-01,43.3
1970-07-01,43.5
1970-08-01,43.7
1970-09-01,43.8
1970-10-01,44
1970-11-01,44
1970-12-01,44.2
1971-01-01,44.3
1971-02-01,44.3
1971-03-01,44.5
1971-04-01,44.7
1971-05-01,44.8
1971-06-01,44.9
1971-07-01,45
1971-08-01,45.1
1971-09-01,45.2
1971-10-01,45.3
1971-11-01,45.3
1971-12-01,45.3
1972-01-01,45.4
1972-02-01,45.5
1972-03-01,45.6
1972-04-01,45.8
1972-05-01,46
1972-06-01,46.1
1972-07-01,46.1
1972-08-01,46.2
1972-09-01,46.3
1972-10-01,46.4
1972-11-01,46.5
1972-12-01,46.7
1973-01-01,46.8
1973-02-01,47
1973-03-01,47.3
1973-04-01,47.6
1973-05-01,47.8
1973-06-01,48
1973-07-01,48.1
1973-08-01,48.3
1973-09-01,48.5
1973-10-01,48.9
1973-11-01,49.2
1973-12-01,49.6
1974-01-01,49.9
1974-02-01,50.3
1974-03-01,50.6
1974-04-01,51.1
1974-05-01,51.8
1974-06-01,52.4
1974-07-01,52.9
1974-08-01,53.5
1974-09-01,54.2
1974-10-01,54.9
1974-11-01,55.4
1974-12-01,55.8
1975-01-01,56.3
1975-02-01,56.8
1975-03-01,57.2
